,precision,recall,f1-score,support
Not Cyberbullying,0.8761987794245859,0.9013452914798207,0.8885941644562335,1115.0
Sexism,0.9484629294755877,0.8996569468267581,0.9234154929577465,1166.0
Racism,0.9540517961570593,0.9769033361847733,0.9653423499577346,1169.0
accuracy,0.9263768115942029,0.9263768115942029,0.9263768115942029,0.9263768115942029
macro avg,0.9262378350190775,0.9259685248304508,0.9257840024572381,3450.0
weighted avg,0.9270017288505945,0.9263768115942029,0.9263681638429055,3450.0
